title,id,subCount,videoCount,viewCount,vidTitle,vidid,date,likes,dislikes,vid_views,vid_duration,vid_caption,likeRatio,startYear,startMonth,endYear,endMonth,interestChange,goodYoutuber,duration,Weighted_Sentiments
Rachel Terry,UC6suSiOQvXGhkmiZJeFhUww,641.0,263.0,67913.0,REVIEW - COMPARING THE OLD ESTEE LAUDER DOUBLE WEAR LIGHT TO THE NEW - JULY 2019,KnzrqemonTQ,2019-07-16,20.0,4.0,2448.0,PT18M39S,False,0.8333333333333334,2019,7,2019,7,-438.9,0,1119,0.951958935325167
Martha Sta. Barbara,UCj70QFd1lbLDJPXTDLQoW0Q,10100.0,162.0,689467.0,SWATCH + REVIEW VIDEO: Estee Lauder Double Wear Stay In Place Makeup Tawny 3W1,iRGKyxz5hOo,2016-08-24,114.0,55.0,23509.0,PT5M27S,False,0.6745562130177515,2016,8,2016,9,-129.83500000000004,0,327,7.602260407066943
Irvy,UCmWCHPhr7fB4DJM2HFK1QTg,4190.0,59.0,431231.0,Estee Lauder NightWear Plus 3-Minute Detox Mask REVIEW &amp; DEMO - Irvy,kNbbfAsmd2o,2015-10-17,146.0,19.0,27502.0,PT11M40S,True,0.8848484848484849,2015,10,2015,10,223.5,1,700,1.4457495138132321
Goo Roo Beauty,UCWkOqtITfZLqn2HhU7tmHlg,52600.0,639.0,9452947.0,Estee Lauder PERFECTIONIST Youth Infusing Makeup : REVIEW &amp; DEMO,xYSHFlJTe5k,2014-10-02,718.0,39.0,67198.0,PT13M48S,True,0.9484808454425364,2014,10,2014,10,-307.5300000000001,0,828,7.509528913912035
Kelly M. Roach,UClt_sq8ZbTLS3zzqKgtdowQ,1930.0,290.0,570000.0,NEW Estee Lauder Double Wear LIGHT Foundation | Review and Wear Test,JY99bgiNgmQ,2018-09-16,106.0,6.0,7939.0,PT14M5S,False,0.9464285714285714,2018,9,2018,9,-174.635,0,845,0.31089643304942743
Brookelynne's Beauty Corner,UC73Kb8rJ0FYYr3WYOv-_cfg,384.0,287.0,70096.0,Estée Lauder Double Wear Review &amp; Demo Ivory Beige,4inLiwCBjFQ,2020-10-06,3.0,0.0,667.0,PT17M5S,False,1.0,2020,10,2020,10,13.529999999999974,1,1025,-0.222222222222222
NinaBeautyWorld,UCD78d7Ql9GjulCpUctHczOw,198000.0,414.0,25216941.0,REVIEW || งานผิวกระชับฉบับ Estee Lauder Re-Nutriv || NinaBeautyWorld,_DfP65pZspE,2018-03-29,193.0,12.0,17550.0,PT19M43S,False,0.9414634146341464,2018,3,2018,4,-408.865,0,1183,1.0000000000000007
Rashi Ramalho,UCOeWvGhDdhMr5Rrq6WcT38w,3100.0,88.0,252191.0,Estee Lauder Double Wear Review &amp; 10 Hour Wear Test,xngle5gnUms,2020-09-24,98.0,3.0,7535.0,PT10M55S,False,0.9702970297029704,2020,9,2020,10,66.59500000000003,1,655,8.205562223573944
Asha Luxe,UCCj5afFKUHdHz2KmZZNzNtw,17300.0,86.0,5486990.0,Estee Lauder Matte Sculpting Lipstick ♡ Swatches and Review,6LwdsDepkEI,2016-03-21,275.0,36.0,59315.0,PT8M23S,False,0.8842443729903537,2016,3,2016,4,52.45999999999992,1,503,0.5930823724392856
Steff’s Beauty Stash,UCpgGNpPtMedkPcp2TlHc2ug,5250.0,332.0,482782.0,Estee Lauder Futurist Hydra Rescue Foundation Review + Wear Test,qpCTw_o6OeE,2020-01-03,272.0,9.0,14027.0,PT12M55S,False,0.9679715302491104,2020,1,2020,1,-265.42500000000007,0,775,5.810228253531206
Miwkaren makeup,UCmL-iBPv2QBox3F_h9_VOmQ,1490.0,40.0,248166.0,REVIEW : Estée Lauder Advanced Night Repair   สูตรใหม่ แพคเกจจิ้งใหม่ ราคาเดิม - Miwkarenmakeup,5j4AhIgPmp0,2020-08-16,11.0,0.0,1665.0,PT2M27S,False,1.0,2020,8,2020,8,495.28,1,147,0.0
